Reference,Authors,Title,Year,Status,Status rationale,Notes,Data type,FullTextURL,"Trait,s","Guild,s",No. lines used,Data type,Sex ,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Wolbachia adjusted,Baseline reference (eg competitor genptype)
Morozova (2018) G3,"V Morozova, Tatiana, Yasmeen Hussain, Lenovia J. McCoy, V Zhirnov, Eugenea, Morgan R. Davis, Victoria A. Pray, Rachel A. Lyman, Laura H. Duncan, Anna McMillen, Aiden Jones, Trudy F. C. Mackay, Robert R. H. Anholt",A Cyclin E Centered Genetic Network Contributes to Alcohol-Induced Variation in Drosophila Development,2018,don't,added,,Mean,https://doi.org/10.1534/g3.118.200260,EtOH resistance ,"Stress Resistance, ?","201 (development), 39 (locomotor)",Mean,Both,"NA,3-5","250(50x5reps),20(singlex20reps)",,cornmeal molasses yeast medium,25,No,
,"H Tricoire, M Rera","A New, Discontinuous 2 Phases of Aging Model: Lessons from Drosophila melanogaster",2015,remove,Insufficient lines used,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0141920,,,,,,,,,,,,
,"M Ørsted, AA Hoffmann, PD Rohde, TN Kristensen",Genetic analysis of environmental variation of cold tolerance in Drosophila melanogaster,2015,remove,Poster,,,https://vbn.aau.dk/files/259419237/Poster_SMBE2016.pdf,,,,,,,,,,,,
,M Ràmia Jesús,"Visualization, description and analysis of the genome variation of a natural population of Drosophila melanogaster",2015,remove,Used previously published data,,,https://www.tesisenred.net/bitstream/handle/10803/322822/mrj1de1.pdf?sequence=1&isAllowed=y,,,,,,,,,,,,
Palmer et al (2018) PLOS Pathogens,"WH Palmer, NC Medd, PM Beard, DJ Obbard","Isolation of a natural DNA virus of Drosophila melanogaster, and characterisation of host resistance and immune responses",2018,have,,,,https://doi.org/10.1371/journal.ppat.1007050,Survival,Viral infection response ,125,Mean,Both,,30,10 sex-separated,cornmeal ,25,No,
,"JR Shorter, M Geisz, E Özsoy, MM Magwire…",The Effects of Royal Jelly on Fitness Traits and Gene Expression in Drosophila melanogaster,2015,remove,Insufficient lines used,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0134612,,,,,,,,,,,,
,MG Barrón Aduriz,Patrones de variacio n nucleotí dica y cartografí a de bloques de seleccio n ligada en el genoma de Drosophila melanogaster,2015,remove,Not in English,,,https://ddd.uab.cat/pub/tesis/2015/hdl_10803_310424/mgba1de1.pdf,,,,,,,,,,,,
,Haiwang Yang...,Expression Profile and Gene Age Jointly Shaped the Genome-Wide Distribution of Premature Termination Codons in a Drosophila melanogaster Population,2015,remove,Used previously published data Mackay 2012,,,http://159.226.67.71/bitstream/000000/11376/1/Expression%20Profile%20and%20Gene%20Age%20Jointly%20Shaped.pdf,,,,,,,,,,,,
,"A Ullastres, M Merenciano, J González",Natural transposable element insertions drive expression changes in genes underlying Drosophila immune response,2019,unsure,"Used published data to estimate TE frequency, also looked at allele-specific expression",,,https://www.biorxiv.org/content/10.1101/655225v1.full-text,,,,,,,,,,,,
,"M Pegoraro, E Picot, CN Hansen, CP Kyriacou…",Gene expression associated with early and late chronotypes in Drosophila melanogaster,2015,remove,Insufficient lines used ,,,https://doi.org/10.3389/fneur.2015.00100,,,,,,,,,,,,
,"J Shih, R Hodge, MA Andrade-Navarro",Comparison of inter-and intraspecies variation in humans and fruit flies,2015,remove,,,,https://www.sciencedirect.com/science/article/pii/S2213596014001238,,,,,,,,,,,,
Evangelou et al (2019) G3 ,"Amalia Evangelou, Anastasia Ignatiou, Chloi Antoniou, Sofia Kalanidou, Sotiroula Chatzimatthaiou, Gavriella Shianiou, Soteroulla Ellina, Rafaella Athanasiou, Myrofora Panagi, Yiorgos Apidianakis, Chrysoula Pitsouli",Unpredictable Effects of the Genetic Background of Transgenic Lines in Physiological Quantitative Traits,2019,have,,,,https://doi.org/10.1534/g3.119.400715,"Fecundity, survival, intestinal regeneraton, defacation rate and pH, tracheal branching upion hypoxia","Infection response, Fecunidty, Physiology (?)",~150,,Female,,,,cornmeal agar,25,No,
,JR Shorter,Genetic Architecture of Aggression in Drosophila melanogaster.,2015,remove,Thesis related to Shorter 2015,,,https://repository.lib.ncsu.edu/bitstream/handle/1840.16/10782/etd.pdf?sequence=2,,,,,,,,,,,,
,"EA Beck, A Llopart",Widespread Positive Selection Drives Differentiation of Centromeric Proteins in the Drosophila melanogaster subgroup,2015,remove,Used previously published data Mackay 2012,,,https://www.nature.com/articles/srep17197.pdf?origin=ppub,,,,,,,,,,,,
,"I Dworkin, CD Jones",Evolutionary genetics: you are what you evolve to eat,2015,remove,Different species but single DGRP line used as analog,,,https://www.sciencedirect.com/science/article/pii/S0960982215000767,,,,,,,,,,,,
,"P Jiang, MZ Ludwig, M Kreitman, J Reinitz",Natural variation of the expression pattern of the segmentation gene even-skipped in melanogaster,2015,remove,Insufficient lines used,,,https://www.sciencedirect.com/science/article/pii/S0012160615300257,,,,,,,,,,,,
,AB Adrian,Fine scale recombination variation in Drosophila melanogaster,2015,remove,F1 progeny used,,,https://ir.uiowa.edu/cgi/viewcontent.cgi?article=6736&context=etd,,,,,,,,,,,,
,"BJ Beliveau, AN Boettiger, MS Avendaño…",Single-molecule super-resolution imaging of chromosomes and in situ haplotype visualization using Oligopaint FISH probes,2015,remove,F1 progeny used,,,https://www.nature.com/articles/ncomms8147,,,,,,,,,,,,
,"AR Dillman, DS Schneider",Defining resistance and tolerance to cancer,2015,remove,Insufficient lines used,,,https://doi.org/10.1016/j.celrep.2015.09.052,,,,,,,,,,,,
Highfill et al (2019) PLOS Genetics,"CA Highfill, BM Baker, SD Stevens, RRH Anholt…",Genetics of cocaine and methamphetamine consumption and preference in Drosophila melanogaster,2019,have,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1007834,"Drug consumption, cocaine and methamphetamine",Behaviour (?),46,,Both,3-5,,,cornmeal molasses yeast ,25,,
Houston (2019) Thesis,D Houston,Lengthening Life: Diapause Induced Lifespan Extension in Drosophila melanogaster,2019,don't,added ,,,https://escholarship.org/content/qt7j56c265/qt7j56c265.pdf,Lifespan ,Diapause,?,?,Virgin Female,NA,30,10,"""yellow"" food","10,25",,
Ma et al (2019) iScience,"D Ma, M Bou-Sleiman, P Joncour, CE Indelicato…",Commensal gut bacteria buffer the impact of host genetic variants on Drosophila developmental traits under nutritional stress,2019,don't,added ,"Data also includes ratio Lp and GF growth, but added each measurement separately",Mean,https://doi.org/10.1016/j.isci.2019.07.048,Larval growth in protein-depleted conditons ,Commensal,53,Mean,NA,NA,3,NA,"6/8g/L inactivated yeast, 80g/L cornmeal, 298 7.14g/L agar, 5.12g/L Moldex, 0.4% propionic acid. ",25,No,
,E. Peterson,Intraspecific Genetic Variation for Lead-Induced Changes in Reproductive Strategies,2019,have,,,,https://doi.org/10.1007/s00128-019-02650-w,Fecunidty following lead treatment ,Stress Resistance ,100,Mean,Both,8,30,10,cormeal molasses yeast,24,,
Everman et al (2019) Genetics,"Elizabeth R. Everman, Casey L. McNeil, Jennifer L. Hackett, Clint L. Bain, Stuart J. Macdonald","Dissection of Complex, Fitness-Related Traits in Multiple Drosophila Mapping Populations Offers Insight into the Genetic Control of Stress Resistance",2019,have,,,,https://doi.org/10.1534/genetics.119.301930,Starvation survival,Stress Resistance ,168,Raw,Both,3-5,~20 ,~10 sex-separated,,,,
,R. Rahman,Unique transposon landscapes are pervasive across Drosophila melanogaster genomes,2015,remove,,,,https://doi.org/10.1093/nar/gkv1193,,,,,,,,,,,,
,"F Ruzicka, MS Hill, TM Pennell, I Flis, FC Ingleby…",Genome-wide sexually antagonistic variants reveal long-standing constraints on sexual dimorphism in fruit flies,2019,unsure,,Tom: this study uses hemiclones derived from the LHm population rather than the DGRP. They then look to see if sexually antagonstic sites in the LHm pop are polymorphic in the DGRP. I reckon remove as it isn't quantitative and would create strange correlations to wrap the head around.,,https://doi.org/10.1371/journal.pbio.3000244,,,,,,,,,,,,
,"Jackson Champer, Zhaoxin Wen, Anisha Luthra, Riona Reeves, Joan Chung, Chen Liu, Yoo Lim Lee, Jingxian Liu, Emily Yang, Philipp W. Messer, Andrew G. Clark",CRISPR Gene Drive Efficiency and Resistance Rate Is Highly Heritable with No Common Genetic Loci of Large Effect,2019,unsure,"Tested ""drive conversion"" and thus resistance to Cas9 cleavlage in 128 lines ","Tom: they have to create heterozygotes to test for drive resistance, so we can safely remove this study.",,https://doi.org/10.1534/genetics.119.302037,,,,,,,,,,,,
,K. Tatum-Gibbs,"Effects of toluene, acrolein and vinyl chloride on motor activity of Drosophila melanogaster",2015,remove,Outbred,,,https://doi.org/10.1016/j.ntt.2014.11.008,,,,,,,,,,,,
Campwell et al (2019) G3,"Jacob B. Campbell, Paula F. Overby, Alyx E. Gray, Hunter C. Smith, Jon F. Harrison",Genome-Wide Association Analysis of Anoxia Tolerance in Drosophila melanogaster,2019,have,,,,https://doi.org/10.1534/g3.119.400421,Larval and adult survival following anoxia ,Stress Resistance,171,Mean,Both,2-4,,10-20,cornmeal molasses ,25,No,
,John E. Pool,The Mosaic Ancestry of the Drosophila Genetic Reference Panel and the D. melanogaster Reference Genome Reveals a Network of Epistatic Fitness Interactions,2015,remove,DGRP ancestry,,,https://doi.org/10.1093/molbev/msv194,,,,,,,,,,,,
Hope et al (2019) Frontiers in Genetics,"KA Hope, D Flatten, P Cavitch, B May, JS Sutcliffe…",The Drosophila gene sulfateless modulates autism-like behaviors,2019,have,,,,https://www.frontiersin.org/articles/10.3389/fgene.2019.00574/full,"Mating latency, grooming and social spacing ",Behaviour ,40,Mean,Both,,,,cornmeal yeast agara,25,No,
Green et al (2019) PNAS,"Llewellyn Green, Paul Battlay, Alexandre Fournier-Level, Robert T. Good, Charles Robin",Cis- and trans-acting variants contribute to survivorship in a naive Drosophila melanogaster population exposed to ryanoid insecticides,2019,have,,,,https://doi.org/10.1073/pnas.1821713116,Larval survival following chlorantraniliprole treatment ,Insecticide Resistance ,152,Mean,,,,,cornmeal yeast agar,25,No,
Ahlers et al (2019) Cell Reports,"LRH Ahlers, CE Trammell, GF Carrell, S Mackinnon…",Insulin potentiates JAK/STAT signaling to broadly inhibit flavivirus replication in insect vectors,2019,have,,,,https://www.sciencedirect.com/science/article/pii/S2211124719313294,Suvrival,Viral Infection Response ,94,,Female,2-7,,,cornmeal food,25,Used lines without,
,"MD Rand, D Vorojeikina, A Peppriell…",Drosophotoxicology: elucidating kinetic and dynamic pathways of methylmercury toxicity in a Drosophila model,2019,don't,email,"Unsure of this one: MeHg tolerance data reproduced from Montgomery 2014, raw data GSH content of 10 most suceptible and 10 most tolerant lines ",,https://www.frontiersin.org/articles/10.3389/fgene.2019.00666/full,?,?,,,,,,,,,,
Rohde et al (2019) Genetics,"Palle Duun Rohde, Iben Ravnborg Jensen, Pernille Merete Sarup, Michael Orsted, Ditte Demontis, Peter Sorensen, Torsten Nygaard Kristensen",Genetic Signatures of Drug Response Variability in Drosophila melanogaster,2019,have,,,,https://doi.org/10.1534/genetics.119.302381,Locomotion following methylphenidate (ADHD drug),Drug response ,172,Mean,Male,2-4,30,,"yeast (60 g/L water), sucrose (40 g/L water), oatmeal (30 g/L water), and agar (16 g/L water) ",23,No,
,"AO Bergland, EL Behrman, KR O'Brien…",Genomic evidence of rapid and stable adaptive oscillations over seasonal time scales in Drosophila,2014,remove,No trait measured ,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004775,,,,,,,,,,,,
Harbison et al (2018) Behavior Genetics,"ST Harbison, S Kumar, W Huang, LJ McCoy, KR Smith…",Genome-Wide Association Study of Circadian Behavior in Drosophila melanogaster,2019,have,,,,https://link.springer.com/content/pdf/10.1007/s10519-018-9932-0.pdf,Activity in constant conditions ,Circadian Behaviour,167,,Both,,24,,Bloomington cornmeal food,25,No,
,S Vonesch,A systems genetics approach to understanding intra-species variation in Drosophila wing and body size,2014,remove,Outbred,,,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/155069/1/eth-47660-01.pdf,,,,,,,,,,,,
,JS Titlow,Dopaminergic and Activity-Dependent Modulation of Mechanosensory Responses in Drosophila Melanogaster Larvae,2014,remove,Insufficient lines used,,,http://uknowledge.uky.edu/cgi/viewcontent.cgi?article=1020&context=biology_etds,,,,,,,,,,,,
,A Loghin,Who is an actor? Analyzing Agency in a Lab's Social World.,2014,remove,Unrelated,,,https://repository.lib.ncsu.edu/bitstream/handle/1840.16/9448/etd.pdf?sequence=2,,,,,,,,,,,,
,D Kessner,Analysis and Simulation Methods for Artificial Selection Experiments in the Investigation of the Genetic Basis of Complex Traits,2014,remove,outbred,,,https://escholarship.org/content/qt18g6t5px/qt18g6t5px_noSplash_215ee7cd45bf5d396e9b5fdd275e5067.pdf?t=ndl2m2,,,,,,,,,,,,
,"TV Morozova, TFC Mackay, RRH Anholt",Genetics and genomics of alcohol sensitivity,2014,remove,Review,,,https://link.springer.com/article/10.1007/s00438-013-0808-y,,,,,,,,,,,,
,MF Ziehm,Computational Biology of Longevity in Model Organisms,2014,remove,Unrelated,,,https://www.ebi.ac.uk/sites/ebi.ac.uk/files/shared/documents/phdtheses/Ziehm_MF_Thesis.pdf,,,,,,,,,,,,
,"K Krassovsky, S Henikoff",Distinct chromatin features characterize different classes of repeat sequences in Drosophila melanogaster,2014,remove,Used previously published data,,,https://link.springer.com/article/10.1186/1471-2164-15-105,,,,,,,,,,,,
Sharma et al (2020) Scientific reports,"A Sharma, K Akagi, B Pattavina, KA Wilson, C Nelson…",Musashi expression in intestinal stem cells attenuates radiation-induced decline in intestinal permeability and survival in Drosophila,2020,don't,"Emailed, got",Proportion of 100 flies,,https://www.nature.com/articles/s41598-020-75867-z,Gut permeability following radiation ,Stress reistance,160,"Proportion of 100 flies, no mean",,5-19,100,25,"1.5% YE, 8.6% Cornmeal, 5% Sucrose, 0.46% Agar, 1% Acid mi",25,No,
,"Aya Yanagawa, Wen Huang, Akihiko Yamamoto, Ayako Wada-Katsumata, Coby Schal, Trudy F. C. Mackay",Genetic Basis of Natural Variation in Spontaneous Grooming in Drosophila melanogaster,2020,don't,added ,,Raw,https://doi.org/10.1534/g3.120.401360,"Behaviour, Grooming",Behaviour,201,Total activity in seconds over 3 minutes,Both,3-5,20,NA,NA,25,No,No
,"VM Howick, BP Lazzaro",Genotype and diet shape resistance and tolerance across distinct phases of bacterial infection,2014,remove,,,,https://bmcecolevol.biomedcentral.com/articles/10.1186/1471-2148-14-56,,,,,,,,,,,,
,"L Mateo, A Ullastres, J González",A transposable element insertion confers xenobiotic resistance in Drosophila,2014,remove,Insufficient lines used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004560,,,,,,,,,,,,
,"NR Garud, PW Messer, EO Buzbas…",Recent selective sweeps in Drosophila were abundant and primarily soft,2014,remove,Used previously publihsed data Mackay 2012,,,https://www.researchgate.net/profile/Nandita-Garud/publication/235771971_Soft_selective_sweeps_are_the_primary_mode_of_recent_adaptation_inDrosophila_melanogaster/links/0c960532a0bec4a42c000000/Soft-selective-sweeps-are-the-primary-mode-of-recent-adaptation-in-Drosophila-melanogaster.pdf,,,,,,,,,,,,
,"LY Yampolsky, MA Bouzinier",Faster evolving Drosophila paralogs lose expression rate and ubiquity and accumulate more non-synonymous SNPs,2014,remove,Used previously publihsed data Mackay 2012,,,https://link.springer.com/article/10.1186/1745-6150-9-2,,,,,,,,,,,,
,"R Hariharan, JM Hoffman…",Invariance and plasticity in the Drosophila melanogaster metabolomic network in response to temperature,2014,remove,Insufficient lines used,,,https://bmcsystbiol.biomedcentral.com/articles/10.1186/s12918-014-0139-6,,,,,,,,,,,,
,"SG Kuntz, MB Eisen",Drosophila Embryogenesis Scales Uniformly across Temperature in Developmentally Diverse Species,2014,remove,Insufficient lines used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004293,,,,,,,,,,,,
,JM Comeron,Background Selection as Baseline for Nucleotide Variation across the Drosophila Genome,2014,remove,DGRP not used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1004434,,,,,,,,,,,,
Harrison et al (2020) BMC Genomics ,"BR Harrison, L Wang, E Gajda, EV Hoffman, BY Chung…","The metabolome as a link in the genotype-phenotype map for peroxide resistance in the fruit fly, Drosophila melanogaster",2020,have,Use raw?,,,https://link.springer.com/content/pdf/10.1186/s12864-020-6739-1.pdf,Survival,Stress Resistance,179,Raw,Females,,,,"1L: 12 g Drosophila agar, 25 g brewers yeast, 55 g glucose monohydrate, 30 g sucrose, 60 g corn meal, 3 g methylparaben. 12 g 100% ethanol, and 3 g propionic acid ",25,,
Jin et al (2020) PLOS Genetics,"K Jin, KA Wilson, JN Beck, CS Nelson…",Genetic and metabolomic architecture of variation in diet restriction-mediated lifespan extension in Drosophila,2020,have,says pending on toms site,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008835,Lifespan on dietary restriction,Lifespan ,161,,Female,,200,25,"1.55% live yeast, 7.5% sugar, 8.5% cornmeal, 0.46% agar, 85% water",25,,
,J Abbott,Success of manipulation of genetic architecture to reveal fitness relationships depends on selection history and genetic architecture,2014,remove,Opinion piece ,,,http://www.peerageofscience.org/proceedings/2014_e2/,,,,,,,,,,,,
,"RC McCoy, RW Taylor, TA Blauwkamp, JL Kelley…","Illumina TruSeq Synthetic Long-Reads Empower De Novo Assembly and Resolve Complex, Highly-Repetitive Transposable Elements",2014,remove,Used previously published data ,,,https://doi.org/10.1371/journal.pone.0106689,,,,,,,,,,,,
,"MC ZAMORA, AB PRADOS, DC ESTEVE",On the predictability of adaptive evolution in coding sequences in Drosophila melanogaster,2014,remove,,,,http://bioinformatica.uab.cat/base/documents/bioinformaticsintranet1415/MThesis_Marta_Coronado2015_4_18D19_48.pdf,,,,,,,,,,,,
,"TW Koh, Z He, S Gorur-Shandilya, K Menuz, NK Larter…",The Drosophila IR20a clade of ionotropic receptors are candidate taste and pheromone receptors,2014,remove,Unrelated ,,,https://www.sciencedirect.com/science/article/pii/S0896627314006230,,,,,,,,,,,,
,"R Appels, J Nystrom-Persson…",Advances in genome studies in plants and animals,2014,remove,Review,,,https://link.springer.com/article/10.1007/s10142-014-0364-5,,,,,,,,,,,,
,M Chakraborty,Adaptive Constraint and its Natural Rescuers: Insights from Drosophila Aldehyde Dehydrogenase,2014,remove,,,,https://www.proquest.com/docview/1520001004?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,
,K.E. Knudsen,Genetic variation and potential for resistance development to the TTA overexpression lethal system in insects,2020,unsure,F1 crosses used - efficacy of tTA overexpression system in pest control,,,https://www.g3journal.org/content/10/4/1271#sec-1,,,,,,,,,,,,
Watanabe and Riddle (2021) Scientific Reports,"Louis P. Watanabe, Cameron Gordon, Mina Y. Momeni, Nicole C. Riddle",Genetic Networks Underlying Natural Variation in Basal and Induced Activity Levels in Drosophila melanogaster,2020,have,,,,https://doi.org/10.1534/g3.119.401034,Locomotion,Activity,161,,Both,3-7,100,,cornmeal molasses ,25,,
,"D. Osman, M. Bou Sleiman, A. Massouras, A. A. Hoffmann, B. Lemaitre, B. Deplancke",Elucidating the genetic and molecular basis of gut immunocompetence variation in a Drosophila melanogaster population,2014,remove,Conference ,,,https://findanexpert.unimelb.edu.au/scholarlywork/1008647-elucidating-the-genetic-and-molecular-basis-of-gut-immunocompetence-variation-in-a-drosophila-melanogaster-population,,,,,,,,,,,,
,"MB Sleiman, MV Frochaux…",Enteric infection induces Lark-mediated intron retention at the 5_ end of Drosophila genes,2020,unsure,Used sequenced data of gut from MB Sleiman 2015 and sequenced control guts in current,,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1918-6,,,,,,,,,,,,
Lecheta et al (2020) Frontiers in Genetics,"Melise C. Lecheta, David N. Awde, Thomas S. O'Leary, Laura N. Unfried, Nicholas A. Jacobs, Miles H. Whitlock, Eleanor McCabe, Beck Powers, Katie Bora, James S. Waters, Heather J. Axen, Seth Frietze, Brent L. Lockwood, Nicholas M. Teets, Sara H. Cahan",Integrating GWAS and Transcriptomics to Identify the Molecular Underpinnings of Thermal Stress Responses inDrosophila melanogaster,2020,have,,,,https://doi.org/10.3389/fgene.2020.00658,CTmin and CTmax,Thermal tolerance,100,,Both,4-9,"28(m), 26(f)",,"0.58% agar, 1.73% yeast, 7.31% cornmeal, 1.00% soy flour, 0.13% Tegosept (w/v), 7.69% light corn syrup, and 0.48% propionic acid",25,,
,"S Stringer, EM Derks, RS Kahn, WG Hill, NR Wray",Assumptions and properties of limiting pathway models for analysis of epistasis in complex traits,2013,remove,Unrelated,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0068913,,,,,,,,,,,,
,MW Park,54th Annual Drosophila Research Conference,2013,remove,Conference ,,,http://www.dros-conf.org/2013/pages/documents/RegularAbstractsFull.pdf,,,,,,,,,,,,
,V Ranade,The role of Ultrabithorax negative autoregulation in Drosophila melanogaster,2013,remove,F1 progeny used,,,https://academiccommons.columbia.edu/doi/10.7916/D83N29PZ/download,,,,,,,,,,,,
Zwoinska et al (2020) Frontiers in Genetics,"MK Zwoinska, LR Rodrigues, J Slate…",Phenotypic responses to and genetic architecture of sterility following exposure to sub-lethal temperature during development,2020,have,,,,https://www.frontiersin.org/articles/10.3389/fgene.2020.00573/full,Fecundity,"Thermal tolerance, fecundity  ",127,Mean,Both,1-4,28,,"10 L: 9 L water, 720 g cornmeal, 162 g dried yeast, 90 g soya flour, 720 g malt extract, 360 g molasses, 72 g agar, 36 mL propionic acid, and 225 mL of 10% Nipagin",25,No,
,G Kislukhin,Pharmacogenomics of Chemotherapy Toxicity in Drosophila melanogaster,2013,remove,DGRP not used,,,https://www.proquest.com/docview/1430985626?pq-origsite=gscholar&fromopenview=true,,,,,,,,,,,,
,N Udpa,The Genetic Basis of Hypoxia Tolerance,2013,remove,Used previously published data to apply algorithm,,,https://escholarship.org/content/qt0zv4j852/qt0zv4j852.pdf,,,,,,,,,,,,
,"KR Stevenson, JD Coolon, PJ Wittkopp",Sources of bias in measures of allele-specific expression derived from RNA-seq data aligned to a single reference genome,2013,remove,Used previously published data ,,,https://link.springer.com/article/10.1186/1471-2164-14-536,,,,,,,,,,,,
,"DS Lawrie, PW Messer, R Hershberg, DA Petrov",Strong Purifying Selection at Synonymous Sites in D. melanogaster,2013,remove,Used previously published data ,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003527,,,,,,,,,,,,
,"N Fuse, T Kitamura, T Haramura, K Arikawa, M Imafuku",Evolution in the Dark: Adaptation of Drosophila in the Laboratory,2013,remove,Book,,,NA,,,,,,,,,,,,
,"Z Ali-Murthy, SE Lott, MB Eisen, TB Kornberg",An essential role for zygotic expression in the pre-cellular Drosophila embryo,2013,remove,Insuffucient lines used,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003428,,,,,,,,,,,,
,"E Kenigsberg, A Tanay",Drosophila Functional Elements Are Embedded in Structurally Constrained Sequences,2013,remove,,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1003512,,,,,,,,,,,,
,"J Ruan, L Jiang, Z Chong, Q Gong…",Pseudo-Sanger sequencing: massively parallel production of long and near error-free reads using NGS technology,2013,remove,Used previously published data ,,,https://bmcgenomics.biomedcentral.com/articles/10.1186/1471-2164-14-711,,,,,,,,,,,,
,"MV Frochaux, MB Sleiman…",cis-regulatory variation modulates susceptibility to enteric infection in the Drosophila genetic reference panel,2020,unsure,Think less of a trait and more of a genetic exploration,,,https://genomebiology.biomedcentral.com/articles/10.1186/s13059-019-1912-z,,,,,,,,,,,,
Adebambo et al (2020) Frontiers in Genetics,"TH Adebambo, DT Fox, AA Otitoloju",Toxicological Study and Genetic Basis of BTEX Susceptibility in Drosophila melanogaster,2020,don't,added,Mean difference between control and treated,,https://www.frontiersin.org/articles/10.3389/fgene.2020.594179/full?&utm_source=Email_to_authors_&utm_medium=Email&utm_content=T1_11.5e1_author&utm_campaign=Email_publication&field=&journalName=Frontiers_in_Genetics&id=594179,Eclosion 14 days after treatment ,Stress Resistance ,144,Mean of differences of 3 replicates,,NA,75,NA,molasses medium ,25,No,
,"W Huang, MA Carbone, RF Lyman, RRH Anholt…",Genotype by environment interaction for gene expression in Drosophila melanogaster,2020,unsure,Gene Expression,,,https://www.nature.com/articles/s41467-020-19131-y,,,,,,,,,,,,
Huang et al (2020) PLOS Biology,"W Huang, T Campbell, MA Carbone, WE Jones…",Context-dependent genetic architecture of Drosophila life span,2020,have,,,,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3000645,Lifespan in three thermal environments ,"Thermal tolerance, Lifespan ",196,Raw,Both,,72,6 1:1 mixed ,"cornmeal, 65 g/L; molasses, 45 ml/L; yeast, 13 g/L",,No,
"Zhang, Reeves and Tautz (2020) Molecular Ecology",W. Zhang,Identification of a genetic network for an ecologically relevant behavioural phenotype in Drosophila melanogaster,2020,have,,,,https://doi.org/10.1111/mec.15341,Pupation height ,?,198,Mean,,,,,cornmeal molasses agar ,24,No,
Spierer et al (2021) PLOS Genetics,"AN Spierer, JA Mossman, SP Smith, L Crawford…",Natural variation in the regulation of neurodevelopmental genes modifies flight performance in Drosophila,2021,don't,added,"Used means adjusted for Wol and inversions, option to use raw data also",,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008887,Flight performance,Activity,197,Mean,Both,7-8,80-100,10,cornmeal medium,25,yes,
,"U Ober, JF Ayroles, EA Stone, S Richards, D Zhu…",Using Whole-Genome Sequence Data to Predict Quantitative Trait Phenotypes in Drosophila melanogaster,2012,remove,Modelling,,,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002685,,,,,,,,,,,,
,"B Chowdhury, M Wang, JP Gnerer…",The Divider Assay is a high-throughput pipeline for aggression analysis in Drosophila,2021,don't,added ,,,https://www.nature.com/articles/s42003-020-01617-6,Agression,Behaviour,47,Raw,Males,5,10-24,2,The Divider Assay is a high-throughput pipeline for aggression analysis in Drosophila,22.5,,
,O Stegle,easyGWAS: An integrated interspecies platform for performing genome-wide association studies,2012,remove,Can't find,,,https://www.academia.edu/download/38024147/1212.4788.pdf,,,,,,,,,,,,
,B He,Using Drosophila natural variation to study the role of positive selection in cis-regulatory evolution and the genetic basis of a complex disease trait,2012,remove,Crosses used,,,https://search.proquest.com/openview/b2c7b83baa3a71a626f96a71cf01c6be/1?pq-origsite=gscholar&cbl=18750,,,,,,,,,,,,
,S Swarup,Genetic Architecture of Natural Variation in Olfactory Behavior in Drosophila melanogaster,2012,remove,"Thesis, papers published elsewhere ",,,"Su et al., 2009). Drosophila melanogaster responds to a variety of odorants and … individuals of the same genotype under controlled environmental conditions makes fruit flies …",,,,,,,,,,,,
,NP Grubbs,Expanding the Genetic Architecture Contributing to Appendage Development,2012,remove,"Thesis, papers published elsewhere ",,,https://repository.lib.ncsu.edu/bitstream/handle/1840.16/8768/etd.pdf?sequence=2,,,,,,,,,,,,
Francis et al (2021) G3,"D Francis, S Ghazanfar, E Havula, JR Krycer, A Senior…","Genome-wide analysis of diet and gene interactions in Drosophila uncovers the glucose transporter, CG4607, as a diet-responsive gene",2021,don't,added ,,,https://doi.org/10.1093/g3journal/jkab171,Survival,Starvation Resistance,178,Mean,Male,13-15,50,10,Circumstantial,25,No,
,"M Spivakov, J Akhtar, P Kheradpour, K Beal, C Girardot…",Analysis of variation at transcription factor binding sites in Drosophila and humans,2012,remove,,,,https://link.springer.com/article/10.1186/gb-2012-13-9-r49,,,,,,,,,,,,
,"J Lou, S Yu, L Feng, X Guo, M Wang, AT Branco…",Environmentally induced ribosomal DNA (rDNA) instability in human cells and populations exposed to hexavalent chromium [Cr (VI)],2021,unsure,Insufficient lines ,Unsure if data was DSPR or DGRP,,https://www.sciencedirect.com/science/article/pii/S0160412021001501,,,,,,,,,,,,
