Trait,Sex,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Trait guild,Trait description,Reference
sarcosine.high.yeast,Female,0.35,0.32,0.67,0.52,0.19,0.35,0.18,0.41,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sarcosine.low.yeast,Female,0.23,0.52,0.76,0.31,0.13,0.26,0.14,0.22,Metabolome,Mean relative sarcosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
serine.high.yeast,Female,0.29,0.42,0.71,0.41,0.16,0.3,0.16,0.3,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
serine.low.yeast,Female,0.22,0.55,0.77,0.28,0.14,0.27,0.15,0.23,Metabolome,Mean relative serine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sigma.virus.sensitivity,Female,0.39,0.22,0.61,0.64,0.14,0.24,0.13,0.33,Pathogen response,"Mean proportion of adults infected with sigma virus (DmelSV), 13 days post infection. Sigma virus is a rhabdovirus that naturally occurs in D. melanogaster. It causes flies paralysis in flies exposed to CO2. Higher values indicate a higher (???) proportion of paralysed flies after exposure to CO2, and therefore greater sensitivity to sigma virus.",Magwire et al (2012) PLOS Genetics
social.aggression,Male,0.13,0.74,0.87,0.15,0.35,0.71,0.37,0.47,Behavioural,Mean number of aggressive encounters over a two-minute period between pairs of males; a DGRP male and a control Canton-SB male. The DGRP male was housed in a mixed Sex environment for the 3 days preceding the aggression assay. Higher values indicate more aggressive males.,Rohde et al (2017) Genetics
social.effect.aggression,Male,0.48,0.02,0.5,0.96,0.26,0.47,0.23,0.92,Behavioural,"Mean difference in aggressive behavior between male flies raised in social and socially isolated environments. Higher values indicate that males raised in a social environment were more aggressive than males experiencing isolation (the authors adjusted line means to meet normality expectations, we present udjusted means for the social and isolation line means).",Rohde et al (2017) Genetics
sorbitol.high.yeast,Female,0,1,1,0,0.21,0.43,0.24,0.21,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sorbitol.low.yeast,Female,0.21,0.57,0.78,0.27,0.16,0.32,0.17,0.26,Metabolome,Mean relative sorbitol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Sphingomonas.hengshuiensis,Female,0,1.05,1.05,0,0.13,0.27,0.16,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.hengshuiensis,Male,0.2,0.59,0.8,0.25,0.14,0.26,0.14,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.parapaucimobilis,Female,0,1.03,1.03,0,0.13,0.29,0.17,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.parapaucimobilis,Male,0,1.24,1.24,0,0.24,0.49,0.27,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.phyllosphaerae,Female,0,1.15,1.15,0,0.2,0.41,0.23,0.17,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.phyllosphaerae,Male,0.09,0.81,0.9,0.1,0.11,0.22,0.14,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.sp.,Female,0,1.06,1.06,0,0.13,0.28,0.17,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.sp.,Male,0,1.19,1.19,0,0.21,0.42,0.23,0.17,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.wittichii,Female,0.07,0.86,0.93,0.07,0.13,0.26,0.15,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sphingomonas.wittichii,Male,0,1.3,1.3,0,0.25,0.49,0.27,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sporolactobacillus.terrae,Female,0.01,0.97,0.99,0.01,0.12,0.26,0.15,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sporolactobacillus.terrae,Male,0.18,0.64,0.82,0.22,0.14,0.27,0.15,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
sprinter.marathoner,Female,0.15,0.7,0.85,0.17,0.19,0.39,0.21,0.26,Activity,The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Note: this data is recoded from that recorded by Watanabe et al (2020).,Riddle (2020) Journal of Experimental Biology
sprinter.marathoner,Male,0,1.07,1.07,0,0.2,0.43,0.24,0.19,Activity,"The percent of activity performed in the first quarter of a two hour induced exercise period. The author reasons that this is a measure of the tendency to behave like a sprinter versus a marathoner. Higher values indicate that a greater proportion of activity was completed in the first 30 minutes, which corresponds to a 'sprinter' phenotype. Note: this data is recoded from that recorded by Watanabe et al (2020).",Riddle (2020) Journal of Experimental Biology
Staphylococcus.aureus,Female,0,1.59,1.59,0,0.3,0.58,0.31,0.19,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Staphylococcus.aureus,Male,0,1.53,1.53,0,0.32,0.62,0.33,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Staphylococcus.epidermidis,Female,0,1.04,1.04,0,0.12,0.25,0.16,0.11,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Staphylococcus.epidermidis,Male,0,1.17,1.17,0,0.18,0.37,0.21,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Staphylococcus.gallinarum,Female,0.1,0.8,0.9,0.11,0.17,0.34,0.18,0.21,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Staphylococcus.gallinarum,Male,0.12,0.76,0.88,0.14,0.16,0.32,0.17,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
startle.response,Female,0.24,0.52,0.76,0.32,0.14,0.26,0.14,0.23,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature
startle.response,Male,0.21,0.57,0.78,0.27,0.13,0.26,0.14,0.21,Activity,Mean time a fly was active in the 45 seconds following a mechanical disturbance. Higher values indicate a greater startle response.,Mackay et al (2012) Nature
startle.response.variance,Female,0.36,0.28,0.65,0.56,0.15,0.26,0.13,0.32,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
startle.response.variance,Male,0.38,0.24,0.62,0.61,0.14,0.24,0.12,0.31,Activity,"Mean variance (the log of the within line standard deviation; ln(σE)) in the time a fly was active in the 45 seconds following a mechanical disturbance. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable startle response, and therefore greater micro-environmental plasticity. Note that the data presented in this study was originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
startle.sensitivity.msb,Female,0.03,0.92,0.96,0.04,0.13,0.27,0.16,0.14,Drug response,Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.,Jordan et al (2012) PLOS One
startle.sensitivity.msb,Male,0.05,0.86,0.91,0.06,0.14,0.29,0.17,0.16,Drug response,Mean difference in startle response between flies reared on medium supplemented with medione sodium bisulfite (MSB; 3 mM concentration) and flies reared on standard medium. MSB facilitates oxidative stress induced mortality. Higher values indicate a greater sensitivity to oxidative stress and a more compromised startle response.,Jordan et al (2012) PLOS One
starvation.resistance.2012,Female,0.44,0.13,0.57,0.77,0.11,0.19,0.1,0.29,Life history,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Mackay et al (2012) Nature
starvation.resistance.2012,Male,0.45,0.09,0.55,0.83,0.11,0.18,0.09,0.31,Life history,Mean hours survived in culture vials containing non-nutritive medium. Higher values indicate greater starvation resistance.,Mackay et al (2012) Nature
starvation.resistance.2017,Male,0.24,0.5,0.75,0.33,0.14,0.27,0.14,0.24,Life history,Adult mean survival in the absence of food after two days is here used as a measure of starvation resistance. Higher values indicate greater survival and therefore higher starvation resistance.,Lee et al (2017) Genome Biology and Evolution
starvation.resistance.2019,Female,0,1.02,1.02,0,0.22,0.45,0.24,0.21,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Everman et al (2019) Genetics
starvation.resistance.2019,Male,0,1.01,1.01,0,0.2,0.42,0.23,0.2,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",Everman et al (2019) Genetics
starvation.resistance.high.fat.diet,Male,0,1.15,1.15,0,0.15,0.31,0.19,0.13,Stress resistance,"Survival time in hours for adult flies that were first flies maintained on a high fat diet (carbs:44.15g/L, protein:52g/L, fat:17.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3
starvation.resistance.high.protein.diet,Male,0.05,0.89,0.95,0.06,0.15,0.32,0.18,0.17,Stress resistance,"Survival time in hours for adult flies that were first flies maintained on a high protein diet (carbs:44.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3
NA,Pooled,0.28,0.45,0.73,0.39,0.2,0.36,0.19,0.35,Stress resistance,Mean hours survived for larvae subjected to nutrient poor starvation medium (20% sucrose in PBS solution). Higher values indicate greater starvation resistance.,Ackay (2017) Thesis
starvation.resistance.old,Female,0.13,0.74,0.87,0.15,0.23,0.46,0.24,0.3,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution
starvation.resistance.old,Male,0.27,0.47,0.74,0.36,0.2,0.39,0.2,0.36,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 28-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution
starvation.resistance.standard.diet,Male,0.14,0.73,0.86,0.16,0.16,0.32,0.18,0.21,Stress resistance,"Survival time in hours for adult flies that were first flies maintained on the laboratories standard diet (carbs:119.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3
starvation.resistance.variance,Female,0.16,0.68,0.84,0.19,0.16,0.3,0.16,0.22,Life history,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
starvation.resistance.variance,Male,0.16,0.68,0.84,0.19,0.16,0.32,0.17,0.23,Life history,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports
starvation.resistance.yeast.poor.diet,Female,0,1.09,1.09,0,0.2,0.42,0.23,0.19,Stress resistance,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.",Nelson et al (2016) BMC Genomics
starvation.resistance.yeast.rich.diet,Female,0.02,0.96,0.98,0.02,0.17,0.36,0.2,0.18,Stress resistance,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.",Nelson et al (2016) BMC Genomics
starvation.resistance.young,Female,0.45,0,0.45,1,0.17,0.3,0.14,0.68,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution
starvation.resistance.young,Male,0.29,0.42,0.71,0.41,0.23,0.44,0.23,0.44,Life history,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old.  Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution
Streptococcus.pneumoniae,Female,0.06,0.89,0.94,0.06,0.11,0.24,0.14,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptococcus.pneumoniae,Male,0.15,0.71,0.86,0.17,0.18,0.36,0.19,0.25,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptococcus.salivarius,Female,0.02,0.95,0.98,0.02,0.11,0.24,0.14,0.11,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptococcus.salivarius,Male,0,1.01,1.01,0,0.15,0.32,0.18,0.15,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.griseoflavus,Female,0.01,0.98,0.99,0.01,0.12,0.25,0.15,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.griseoflavus,Male,0.3,0.41,0.71,0.42,0.17,0.31,0.16,0.31,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.pristinaespiralis,Female,0.03,0.93,0.97,0.03,0.12,0.25,0.15,0.12,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.pristinaespiralis,Male,0.34,0.33,0.67,0.51,0.16,0.3,0.15,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.sp.,Female,0.01,0.97,0.99,0.01,0.12,0.27,0.16,0.13,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Streptomyces.sp.,Male,0.16,0.68,0.84,0.19,0.14,0.29,0.16,0.2,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
succinate.high.yeast,Female,0.04,0.91,0.95,0.05,0.14,0.3,0.17,0.15,Metabolome,Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
succinate.low.yeast,Female,0,1.07,1.07,0,0.15,0.31,0.19,0.14,Metabolome,Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sucrose.high.yeast,Female,0.44,0.14,0.58,0.76,0.14,0.24,0.12,0.36,Metabolome,Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
sucrose.low.yeast,Female,0.08,0.85,0.92,0.08,0.18,0.37,0.2,0.21,Metabolome,Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Sum.of Non-Wolbachia Species,Female,0,1.08,1.08,0,0.18,0.36,0.2,0.16,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Sum.of Non-Wolbachia Species,Male,0,1.31,1.31,0,0.28,0.57,0.3,0.22,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
T1.femur,Female,0.34,0.33,0.67,0.51,0.31,0.59,0.3,0.68,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T1.femur,Male,0.26,0.48,0.74,0.35,0.28,0.54,0.28,0.5,Morphological,"Mean femur length, for legs originating on the first thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T1.leg.length,Female,0.47,0,0.47,1,0.22,0.4,0.19,0.85,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T1.leg.length,Male,0.22,0.55,0.77,0.29,0.33,0.64,0.33,0.54,Morphological,Mean leg length for legs originating on the first thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T1.tarsus,Female,0.48,0,0.48,1,0.16,0.28,0.15,0.6,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T1.tarsus,Male,0.41,0,0.41,1,0.18,0.33,0.16,0.8,Morphological,"Mean tarsus length, for legs originating on the first thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T1.tibia,Female,0,1.01,1.01,0,0.26,0.54,0.3,0.26,Morphological,"Mean tibia length, for legs originating on the first thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T1.tibia,Male,0.01,0.99,0.99,0.01,0.25,0.53,0.29,0.26,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T2.femur,Female,0.38,0.25,0.63,0.61,0.3,0.56,0.28,0.73,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T2.femur,Male,0.51,0,0.51,1,0.2,0.36,0.18,0.7,Morphological,"Mean femur length, for legs originating on the second thoracic segment. Higher values indicate longer femurs",Grubbs et al (2013) PLOS One
T2.leg.length,Female,0.5,0,0.5,1,0.18,0.31,0.16,0.61,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T2.leg.length,Male,0.5,0,0.5,1,0.19,0.33,0.16,0.65,Morphological,Mean leg length for legs originating on the second thoracic segment. Higher values indicate longer legs,Grubbs et al (2013) PLOS One
T2.tarsus,Female,0.47,0,0.47,1,0.17,0.3,0.15,0.64,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T2.tarsus,Male,0.46,0,0.46,1,0.18,0.33,0.16,0.71,Morphological,"Mean tarsus length, for legs originating on the second thoracic segment. Higher values indicate longer tarsus'.",Grubbs et al (2013) PLOS One
T2.tibia,Female,0.41,0.19,0.6,0.68,0.28,0.53,0.26,0.75,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
T2.tibia,Male,0.27,0.45,0.73,0.38,0.32,0.63,0.32,0.6,Morphological,"Mean tibia length, for legs originating on the second thoracic segment. Higher values indicate longer tibias",Grubbs et al (2013) PLOS One
taurine.high.yeast,Female,0.43,0,0.43,1,0.12,0.2,0.1,0.45,Metabolome,Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
taurine.low.yeast,Female,0.39,0.24,0.63,0.62,0.16,0.29,0.15,0.37,Metabolome,Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
tergite5,Female,0.47,0.07,0.54,0.88,0.13,0.21,0.11,0.37,Morphological,Mean pigmentation scores for tergite 5. Higher values indicate higher percentages of brown/black melanin on the tergite.,Dembeck et al (2015) PLOS Genetics
tergite6,Female,0.27,0.46,0.73,0.37,0.18,0.34,0.18,0.33,Morphological,Mean pigmentation scores for tergite 6. Higher values indicate higher percentages of brown/black melanin on the tergite.,Dembeck et al (2015) PLOS Genetics
Terriglobus.roseus,Female,0.5,0,0.5,1,0.13,0.21,0.1,0.42,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Terriglobus.roseus,Male,0.19,0.62,0.81,0.24,0.18,0.35,0.18,0.27,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
thorax.length.18C,Female,0.12,0.75,0.88,0.14,0.14,0.28,0.16,0.18,Morphological,Mean adult thorax length when reared at 18C. Higher values indicate larger flies.,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
thorax.length.28C,Female,0,1.03,1.03,0,0.17,0.36,0.2,0.17,Morphological,Mean adult thorax length when reared at 28C. Higher values indicate larger flies.,"Lafuente, Duneau and Beldade (2018) PLOS Genetics"
thorax.length.thermal.plasticity,Female,0.1,0.81,0.9,0.11,0.17,0.34,0.18,0.2,Morphological,"Flies were reared at 18C and 28C, after which adult thorax lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
threonine.high.yeast,Female,0,1.4,1.4,0,0.31,0.62,0.33,0.22,Metabolome,Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
threonine.low.yeast,Female,0.26,0.48,0.73,0.35,0.14,0.27,0.15,0.25,Metabolome,Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
NA,Pooled,0.12,0.76,0.88,0.14,0.2,0.41,0.22,0.26,Stress resistance,"The mean percentage of flies that died within 24 hours, after suffering traumatic injury. Higher values indicate greater mortality.",Katzenberger et al (2015) eLife
Tremella.mesenterica,Female,0.31,0.4,0.71,0.44,0.18,0.33,0.17,0.34,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Tremella.mesenterica,Male,0.18,0.64,0.82,0.22,0.18,0.35,0.18,0.26,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
triglyceride.2015,Male,0.17,0.63,0.8,0.21,0.22,0.43,0.23,0.33,Metabolome,Estimated mass of total trigylcerides per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
triglyceride.gnotobiotic,Male,0,1.01,1.01,0,0.3,0.62,0.34,0.29,Metabolome,"Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher TAG content.",Dobson et al (2015) Nature Communications
