Trait,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp,Sex,Trait guild,Trait description,Reference
oxypurinol.low.yeast.f,0.12,0.75,0.88,0.14,0.16,0.32,0.18,0.2,Female,Metabolome,Mean relative oxypurinol concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
p-xylene.susceptibility,0.25,0.5,0.76,0.33,0.2,0.37,0.19,0.34,Both,Stress resistance,Mean difference in larval viability between control and p-xylene-treated (concentration 1.068mM) first instar larvae after 14 days of development. P-xylene is an aromatic hydrocarbon associated with gasoline and diesel-powered engine emissions. Higher values indicate a greater negative effect of P-xylene on larval viability.,Adebambo et al (2020) Frontiers in Genetics
P.aeruginosa.defecation.f,0.3,0.4,0.7,0.43,0.18,0.34,0.18,0.35,Female,Pathogen response,"Mean number of fecal spots detected after 20h for 10 flies, after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate more defecation.",Evangelou et al (2019) G3
P.aeruginosa.fecal.pH.f,0.22,0.56,0.77,0.28,0.16,0.31,0.17,0.25,Female,Pathogen response,Mean pH of fecal matter for flies after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate a higher pH.,Evangelou et al (2019) G3
P.aeruginosa.intestinal.mitosis.f,0.11,0.78,0.89,0.12,0.19,0.39,0.21,0.24,Female,Pathogen response,"Mean amount of intestinal mitosis, five days after exposure to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate a greater number of mitotic itensitinal cells.",Evangelou et al (2019) G3
P.aeruginosa.resistance.2017.f,0,1.18,1.18,0,0.43,0.87,0.46,0.37,Female,Pathogen response,Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,"Wang, Lu and St. Leger (2017) PLOS Pathogens"
P.aeruginosa.resistance.2017.m,0,1.53,1.53,0,0.78,1.53,0.79,0.51,Male,Pathogen response,Mean number of days required for 50% of 20 flies to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,"Wang, Lu and St. Leger (2017) PLOS Pathogens"
P.aeruginosa.resistance.2019.f,0,1.2,1.2,0,0.29,0.58,0.32,0.24,Female,Pathogen response,Mean number of days required for 50% of flies in a vial to die (LT50) when exposed to the bacterial pathogen Pseudomos aeruginosa (Pa14). Higher values indicate greater resistance to Pa14.,Evangelou et al (2019) G3
P.entomophila.resistance.f,0.07,0.86,0.93,0.07,0.23,0.47,0.25,0.27,Female,Pathogen response,"Mean percentage of flies dying after 3 days post infection with P.entomophila L48, an entomopathogenic bacterium. Higher values indicate greater mortality.",Bou Sleiman et al (2015) Nature Communications
P.rettgeri.load.f,0.38,0.25,0.63,0.6,0.17,0.31,0.16,0.4,Female,Pathogen response,"Mean colony forming units (CFU) produced from the homogenate of three pooled flies, 20 hours after infection with P. rettgeri, a bacterial pathogen. Higher values indicate a greater bacterial load.",Howick and Lazzaro (2017) Molecular Ecology
P.rettgeri.load.high.glucose.diet.m,0.34,0.33,0.68,0.51,0.19,0.35,0.18,0.4,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 10% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
P.rettgeri.load.low.glucose.diet.m,0.2,0.63,0.82,0.24,0.21,0.41,0.22,0.31,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 2.5% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
P.rettgeri.load.medium.glucose.diet.m,0.3,0.43,0.73,0.41,0.2,0.37,0.2,0.36,Male,Pathogen response,"Mean ln(bacterial load) per fly, 24 hours after infection with P. rettgeri, a bacterial pathogen. Prior to infection, flies were reared on a diet containing 5% glucose. Higher values indicate a greater bacterial load.","Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
P.rettgeri.resistance.f,0.38,0.26,0.63,0.59,0.17,0.31,0.16,0.39,Female,Pathogen response,"Mean proportion of flies surviving infection, two days after inoculation with the bacterial pathogen P. rettgeri. Higher values indicate greater resistance to P. rettgeri.",Howick and Lazzaro (2017) Molecular Ecology
P.rettgeri.tolerance.f,0,1.01,1.01,0,0.22,0.46,0.25,0.22,Female,Pathogen response,"A general, nonlinear relationship between the proportion of flies surviving two days post infection and sustained pathogen load, after injection with the bacterial pathogen P. rettgeri, was predicted. The data presented here are the line deviations from the predicted relationship between survival and bacterial load. Positive values indicate a greater tolerance to P. rettgeri.",Howick and Lazzaro (2017) Molecular Ecology
Paenibacillus.borealis.f,0.19,0.61,0.8,0.24,0.13,0.26,0.14,0.2,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Paenibacillus.borealis.m,0.12,0.76,0.88,0.13,0.14,0.28,0.16,0.18,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Paenibacillus.sp..f,0.19,0.59,0.79,0.25,0.12,0.23,0.13,0.18,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Paenibacillus.sp..m,0.22,0.53,0.75,0.3,0.11,0.22,0.12,0.19,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
pantothenate.high.yeast.f,0.33,0.31,0.64,0.51,0.11,0.2,0.11,0.24,Female,Metabolome,Mean relative pantothenate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pantothenate.low.yeast.f,0.36,0.28,0.63,0.56,0.14,0.25,0.13,0.32,Female,Metabolome,Mean relative pantothenate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
paraquat.resistance.2021.m,0.04,0.92,0.96,0.04,0.41,0.83,0.43,0.45,Male,Drug response,"Mean difference in centimetres climbed in three seconds following vial inversion, after 24 hours of exposure to sucrose or sucrose supplemented with paraquat (200 uM in 1% sucrose solution). Paraquat is a herbicide that causes oxidative stress in D. melanogaster. Higher values indicate greater resistance to paraquat and the effects of oxidative stress.",Lovejoy et al (2021) Molecular Ecology
paraquat.resistance.f,0.41,0.19,0.6,0.68,0.15,0.26,0.14,0.37,Female,Drug response,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Weber et al (2012) PLOS One
paraquat.resistance.m,0,1.04,1.04,0,0.24,0.5,0.27,0.23,Male,Drug response,Mean hours survived when exposed to food medium supplemented with paraquat (20 mM/50ml concentration). Paraquat is a herbicide that facilitates oxidative stress induced mortality. Higher values indicate greater resistance to oxidative stress.,Weber et al (2012) PLOS One
parathion.resistance.m,0.41,0,0.41,1,0.09,0.14,0.07,0.35,Male,Insecticide response,"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",Duneau et al (2018) G3
Pectobacterium.carotovorum.f,0,1.07,1.07,0,0.17,0.36,0.2,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pectobacterium.carotovorum.m,0.03,0.93,0.97,0.04,0.14,0.3,0.17,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
PEP.high.yeast.f,0.03,0.94,0.97,0.03,0.2,0.41,0.22,0.21,Female,Metabolome,Mean relative PEP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
PEP.low.yeast.f,0.02,0.96,0.98,0.02,0.15,0.31,0.18,0.15,Female,Metabolome,Mean relative PEP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
permethrin.knockdown.f,0.28,0.43,0.71,0.4,0.14,0.26,0.14,0.26,Female,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.knockdown.m,0.3,0.38,0.68,0.44,0.13,0.23,0.13,0.25,Male,Insecticide response,"Mean proportion of flies 'knocked down' after 3 hours of exposure to permethrin, a pyrethroid pesticide. Knockdown is a phenotype where the fly lies paralyzed and twitching, or exhibits uncontrolled flight. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.mortality.24hr.f,0.26,0.48,0.74,0.35,0.15,0.28,0.15,0.26,Female,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
permethrin.mortality.24hr.m,0.25,0.49,0.74,0.34,0.14,0.26,0.14,0.24,Male,Insecticide response,"Mean mortality after 24 hours of exposure to permethrin, a pyrethroid pesticide. Higher values indicate greater susceptibility to permethrin.",Battlay et al (2018) G3
phenylalanine.high.yeast.f,0.23,0.55,0.78,0.29,0.18,0.35,0.18,0.3,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
phenylalanine.low.yeast.f,0.2,0.59,0.79,0.26,0.15,0.29,0.16,0.23,Female,Metabolome,Mean relative phenylalanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
phototaxis.mid.age.f,0.08,0.85,0.94,0.09,0.13,0.28,0.16,0.15,Female,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.mid.age.m,0.31,0.35,0.67,0.47,0.14,0.25,0.14,0.28,Male,Activity,Mean phototaxis score measured in 14 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.old.f,0.09,0.82,0.91,0.1,0.13,0.26,0.15,0.15,Female,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.old.m,0.22,0.55,0.77,0.29,0.13,0.26,0.14,0.22,Male,Activity,Mean phototaxis score measured in 28 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.young.f,0.02,0.96,0.98,0.02,0.13,0.28,0.17,0.14,Female,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
phototaxis.young.m,0.12,0.76,0.89,0.14,0.16,0.31,0.18,0.2,Male,Activity,Mean phototaxis score measured in 7 day old adults. Higher values indicate a stronger phototaxic response.,Carbone et al (2017) PNAS
pipecolate.high.yeast.f,0.03,0.94,0.97,0.03,0.15,0.32,0.18,0.16,Female,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pipecolate.low.yeast.f,0.34,0.31,0.65,0.52,0.15,0.27,0.14,0.32,Female,Metabolome,Mean relative pipecolate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Plasmodium.vivax.f,0.08,0.84,0.92,0.09,0.14,0.28,0.16,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Plasmodium.vivax.m,0.37,0.27,0.64,0.57,0.16,0.28,0.14,0.35,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Podospora.anserina.f,0,1.02,1.02,0,0.12,0.26,0.16,0.12,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Podospora.anserina.m,0.28,0.45,0.73,0.39,0.17,0.31,0.16,0.3,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
posterior.lobe.shape.PC1.m,0.31,0.38,0.69,0.45,0.2,0.37,0.19,0.39,Male,Morphological,"Mean PC1 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 78% of the variation in shape, and describes the degree of beak-like protrusion at the tip of the posterior lobes. Higher values indicate a greater degree of beak-like postrusion.",Takahara and Takahashi (2015) PLOS One
posterior.lobe.shape.PC2.m,0.34,0.31,0.66,0.52,0.2,0.38,0.19,0.44,Male,Morphological,"Mean PC2 score for posterior lobe shape, calculated from 200 Fourier coefficients. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. PC1 explains 10% of the variation in shape, and describes the width of the posterior lobes. Higher values indicate wider lobes.",Takahara and Takahashi (2015) PLOS One
posterior.lobe.size.m,0.46,0.07,0.53,0.87,0.14,0.24,0.12,0.43,Male,Morphological,"Mean posterior lobe size, measured in pixels. The posterior lobe is a genital structure used to grasp the female oviscape to ensure stable genital coupling. Higher values indicate larger posterior lobes.",Takahara and Takahashi (2015) PLOS One
proline.high.yeast.f,0.34,0.32,0.66,0.51,0.16,0.28,0.15,0.33,Female,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
proline.low.yeast.f,0,1.16,1.16,0,0.19,0.4,0.23,0.17,Female,Metabolome,Mean relative proline concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
Propionibacterium.acidipropionici.f,0,1.2,1.2,0,0.16,0.33,0.19,0.13,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Propionibacterium.acidipropionici.m,0.05,0.91,0.95,0.05,0.16,0.32,0.18,0.17,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Propionibacterium.acnes.f,0.16,0.67,0.83,0.2,0.15,0.29,0.16,0.21,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Propionibacterium.acnes.m,0,1.16,1.16,0,0.18,0.37,0.21,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
protein.2015.m,0.47,0,0.47,1,0.16,0.28,0.14,0.59,Male,Metabolome,Estimated mass of soluble protein per male fly divided by the average mass of males from that line. Higher values indicate greater content of the macronutrient.,"Unckless, Rottschaefer and Lazzaro (2015) G3"
protein.anexic.m,0,1.36,1.36,0,0.46,0.92,0.49,0.34,Male,Metabolome,"Mean combined protein content extracted from 5 adult flies that lacked a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on sterile food. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications
protein.gnotobiotic.m,0.12,0.74,0.87,0.14,0.17,0.35,0.21,0.22,Male,Metabolome,"Mean combined protein content extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher protein content.",Dobson et al (2015) Nature Communications
protein.high.glucose.diet.m,0.5,0.03,0.53,0.95,0.18,0.3,0.15,0.56,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 10% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
protein.low.glucose.diet.m,0.11,0.77,0.88,0.13,0.2,0.41,0.22,0.26,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 2.5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
protein.medium.glucose.diet.m,0.41,0.18,0.59,0.69,0.22,0.41,0.2,0.59,Male,Metabolome,Mean protein (mg/ul) extracted from 10 flies that were reared on a diet containing 5% glucose. Higher values indicate greater levels of protein.,"Unckless, Rottschaefer and Lazzaro (2015) PLOS Genetics"
Pseudodonghicola.xiamenensis.f,0.01,0.98,0.99,0.01,0.15,0.32,0.18,0.16,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudodonghicola.xiamenensis.m,0.05,0.9,0.95,0.06,0.15,0.31,0.18,0.17,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.fuscovaginae.f,0.06,0.88,0.94,0.07,0.12,0.26,0.15,0.14,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.fuscovaginae.m,0.02,0.96,0.98,0.02,0.15,0.31,0.18,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.moraviensis.f,0.38,0.24,0.63,0.61,0.14,0.25,0.13,0.33,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.moraviensis.m,0.19,0.62,0.81,0.23,0.15,0.3,0.16,0.23,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.putida.f,0.1,0.79,0.89,0.12,0.12,0.24,0.14,0.15,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.putida.m,0.24,0.54,0.77,0.31,0.17,0.33,0.17,0.28,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.sp..f,0.28,0.44,0.72,0.39,0.14,0.26,0.14,0.26,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.sp..m,0,1.01,1.01,0,0.15,0.32,0.18,0.15,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.stutzeri.f,0.24,0.52,0.75,0.31,0.12,0.23,0.13,0.21,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.stutzeri.m,0.02,0.96,0.98,0.02,0.14,0.29,0.17,0.14,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.syringae.f,0.3,0.4,0.7,0.43,0.15,0.27,0.14,0.28,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Pseudomonas.syringae.m,0,1.14,1.14,0,0.14,0.29,0.17,0.12,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Psychrobacter.glacincola.f,0.27,0.46,0.74,0.37,0.16,0.3,0.16,0.29,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Psychrobacter.glacincola.m,0.11,0.79,0.89,0.12,0.16,0.33,0.18,0.2,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Psychrobacter.sp..f,0,1.03,1.03,0,0.15,0.31,0.18,0.14,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
Psychrobacter.sp..m,0.07,0.86,0.93,0.08,0.14,0.29,0.17,0.16,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research
pupal.case.length,0.47,0.07,0.54,0.87,0.11,0.17,0.09,0.3,Both,Morphology,"Mean pupal case length in mm. Measurements were taken with image analysis software from at least 6 vials with a minimum of 15 pupa per vial, and were converted from pixels to mm based on the ratio to the diameter measurement of 1 euro cent coin (16.25 mm diameter)",Zhang et al (2021) Current Biology
pupation.height,0.21,0.56,0.77,0.27,0.12,0.22,0.13,0.18,Both,NA,"Mean height at which larvae pupated in a 95mm Drosophila vial, after accounting for food height. Higher values indicate higher pupation sites.","Zhang, Reeves and Tautz (2020) Molecular Ecology"
putrescine.high.yeast.f,0.35,0.31,0.66,0.53,0.16,0.29,0.15,0.35,Female,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
putrescine.low.yeast.f,0.1,0.79,0.89,0.12,0.14,0.28,0.16,0.17,Female,Metabolome,Mean relative putrescine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pyridoxal-5-P.high.yeast.f,0,1.16,1.16,0,0.22,0.45,0.25,0.19,Female,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pyridoxal-5-P.low.yeast.f,0.13,0.73,0.87,0.15,0.19,0.39,0.21,0.26,Female,Metabolome,Mean relative pyridoxal-5-P concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pyruvate.high.yeast.f,0.02,0.96,0.98,0.02,0.13,0.29,0.17,0.14,Female,Metabolome,Mean relative pyruvate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
pyruvate.low.yeast.f,0,1.56,1.56,0,0.34,0.65,0.35,0.22,Female,Metabolome,Mean relative pyruvate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics
radiation.resistance.m,0.21,0,0.21,1,0.08,0.15,0.07,0.72,Male,Stress resistance,"Mean survival 24 hours after exposure to radiation (Cs137, avg dose of 4.85 Gy/min. Total dose of 1382 Gy over the 4 hours and 45 minutes of continuous exposure). Higher values indicate greater radiation resistance.",Vaisnav et al (2014) PLOS One
RCH.18C.f,0.04,0.92,0.96,0.04,0.19,0.4,0.22,0.21,Female,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS
RCH.18C.m,0,0.98,0.98,0,0.14,0.29,0.17,0.14,Male,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS
RCH.25C.f,0.2,0.63,0.83,0.24,0.18,0.35,0.19,0.26,Female,Physiological,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 25C. Higher values indicate a greater plastic response.",Gerken et al (2015) PNAS
