Reference,Trait,# lines measured,Sex,Trait description,Authors,Title,Year,FullTextURL,Age,Sample Size (per sex if applic),Housing,Diet,Temperature,Notes
Wilson et al (2020) Current Biology,lifespan.25C.high.yeast.f,161,Female,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 5% yeast. Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al,GWAS for Lifespan and Decline in Climbing Ability in Flies upon Dietary Restriction Reveal decima as a Mediator of Insulin-like Peptide Production,2020,https://doi.org/10.1016/j.cub.2020.05.020,NA,NA,NA,NA,NA,"Same data as Jin et al (2020), but published here first"
Wilson et al (2020) Current Biology,lifespan.25C.low.yeast.f,161,Female,Median mated female lifespan when reared at 25C and then kept as adults on a diet containing 0.5% yeast (dietary restricted). Higher values indicate longer lived flies. Note these flies come from the same populations as used by Jin et al (2020).,Wilson et al,GWAS for Lifespan and Decline in Climbing Ability in Flies upon Dietary Restriction Reveal decima as a Mediator of Insulin-like Peptide Production,2020,https://doi.org/10.1016/j.cub.2020.05.020,NA,NA,NA,NA,NA,"Same data as Jin et al (2020), but published here first"
Wong and Holman (in prep),fitness.early.life.f,125,Female,"Mean number of L1 larvae produced by females aged 5-6 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wong and Holman (in prep),fitness.early.life.m,124,Male,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 2-3 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wong and Holman (in prep),fitness.late.life.f,125,Female,"Mean number of L1 larvae produced by females aged 17-18 days over a 24h period. For each replicate measurement, 5 DGRP females were housed with standardised mates and opposite-sex competitors (15 males and 10 females, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wong and Holman (in prep),fitness.late.life.m,124,Male,"Mean number of L1 larvae sired by males in competition for matings/fertilisations with same-aged competitor males over 3 days, beginning when all males were aged 14-15 days. For each replicate measurement, 5 DGRP males were housed with standardised mates and opposite-sex competitors (15 females and 10 males, giving an overall population size of 30 and 1:1 sex ratio). Fitness was estimated on the latent scale from a generalised linear mixed model, and is scaled to have a mean of zero and unit variance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wu et al (2018) SLEEPJ,day.sleep.bout.length.SD.f,167,Female,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,day.sleep.bout.length.SD.m,167,Male,"The standard deviation for the length of a sleep bout during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,day.sleep.bouts.SD.f,167,Female,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,day.sleep.bouts.SD.m,167,Male,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,day.sleep.SD.f,167,Female,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,day.sleep.SD.m,167,Male,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour light period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.bout.length.SD.f,167,Female,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.bout.length.SD.m,167,Male,"The standard deviation for the length of a sleep bout during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep bout length. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.bouts.SD.f,167,Female,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.bouts.SD.m,167,Male,"The standard deviation for the number of separate periods of inactivity lasting > 5 minutes, during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in number of sleep bouts. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.SD.f,167,Female,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,night.sleep.SD.m,167,Male,"The standard deviation for the sum of periods of inactivity lasting > 5 minutes (the studies definition of sleep) during the 12-hour dark period of the light cycle. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more within-individual variation in sleep duration. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,waking.activity.SD.f,167,Female,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Wu et al (2018) SLEEPJ,waking.activity.SD.m,167,Male,"Standard deviation for the number of times the fly crossed the infrared beam used to measure activity, divided by the total time spent awake. Standard deviations are used to estimate the inter-individual variation in sleep. Higher values indicate more variable within-individual activity. Note that this study reanalyses the data collected in Harbison, McCoy and Mackay (2013).",Wu et al,Genotype Influences Day-to-Day Variability in Sleep in Drosophila melanogaster,2018,https://doi.org/10.1093/sleep/zsx205,NA,NA,NA,NA,NA,"Data collected in Harbison, McCoy and Mackay 2013 and reanalyzed here using standard deviations instead of the mean. They use SD to explore genetic variation in inter-individual variability in sleep across 4 days."
Zhang et al (2021) Current Biology,pupal.case.length,198,Pooled,"Mean pupal case length in mm. Measurements were taken with image analysis software from at least 6 vials with a minimum of 15 pupa per vial, and were converted from pixels to mm based on the ratio to the diameter measurement of 1 euro cent coin (16.25 mm diameter)","W Zhang, GR Reeves, D Tautz",Testing implications of the omnigenic model for the genetic analysis of loci identified through genome-wide association,2021,https://www.sciencedirect.com/science/article/pii/S096098222031873X,NA,NA,NA,cornmeal molasses agar medium,24,NA
"Zhang, Reeves and Tautz (2020) Molecular Ecology",pupation.height,198,Pooled,"Mean height at which larvae pupated in a 95mm Drosophila vial, after accounting for food height. Higher values indicate higher pupation sites.",W. Zhang,Identification of a genetic network for an ecologically relevant behavioural phenotype in Drosophila melanogaster,2020,https://doi.org/10.1111/mec.15341,NA,NA,NA,cornmeal molasses agar,24,NA
Zhou et al (2016) Environmental Health Perspectives,lead.locomotor.activity.2016.f,166,Female,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.locomotor.activity.2016.m,166,Male,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater locomotor activity.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,locomotor.activity.2016.f,166,Female,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,locomotor.activity.2016.m,166,Male,"Mean number of times adult flies crossed an infrared beam over a 2-day period, after developing at 25C on control food medium. Higher values indicate greater locomotor activity.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,egg.adult.development.time.2016.f,198,Female,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,egg.adult.development.time.2016.m,198,Male,"Mean egg-to-adult development time in days, when reared at 25C on control food medium. Higher values indicate a longer development time.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,egg.adult.viability.2016,200,Pooled,"Mean proportion of flies surviving to adulthood, when reared at 25C on control food medium. Higher values indicate greater survival.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.egg.adult.development.time.2016.f,185,Female,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.egg.adult.development.time.2016.m,190,Male,"Mean egg-to-adult development time in days, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.effect.development.time.f,184,Female,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.effect.development.time.m,188,Male,Mean difference in egg-to-adult development time between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a longer development time when supplemented with lead.,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.effect.locomotor.activity.f,200,Female,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.effect.locomotor.activity.m,200,Male,Mean difference in locomotor between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a larger negative effect of lead on activity.,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.effect.viability,199,Pooled,Mean difference in egg-to-adult viability between flies reared on control food medium and those reared on food medium supplemented with 0.5 mM lead acetate. Higher values indicate a smaller negative effect of lead on viability.,"Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2016) Environmental Health Perspectives,lead.egg.adult.viability.2016,199,Pooled,"Mean proportion of flies surviving to adulthood, when reared at 25C on food medium supplemented with 0.5 mM lead acetate. Higher values indicate greater survival.","Shanshan Zhou, Tatiana V. Morozova, Yasmeen N. Hussain, Sarah E. Luoma, Lenovia McCoy, Akihiko Yamamoto, Trudy F. C. Mackay, Robert R. H. Anholt",The Genetic Basis for Variation in Sensitivity to Lead Toxicity in Drosophila melanogaster,2016,https://doi.org/10.1289/ehp.1510513,NA,NA,NA,cornmeal molasses yeast,25,NA
Zhou et al (2019) Genome Research,glucose.2019.f,40,Female,Mean free glucose (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glucose.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,glucose.2019.m,40,Male,Mean free glucose (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glucose.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,glycerol.2019.f,40,Female,Mean free glycerol (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glycerol.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,glycerol.2019.m,40,Male,Mean free glycerol (mg/ul) extracted from 10 flies. Higher values indicate greater levels of free glycerol.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,glycogen.2019.f,40,Female,Mean glycogen (mg/ul) extracted from 10 flies. Higher values indicate greater levels of glycogen.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,glycogen.2019.m,40,Male,Mean glycogen (mg/ul) extracted from 10 flies. Higher values indicate greater levels of glycogen.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,protein.2019.f,40,Female,Mean protein (mg/ul) extracted from 10 flies. Higher values indicate greater levels of protein.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,protein.2019.m,40,Male,Mean protein (mg/ul) extracted from 10 flies. Higher values indicate greater levels of protein.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,triglyceride.2019.f,40,Female,Mean triglyceride (mg/ul) extracted from 10 flies. Higher values indicate greater levels of triglyceride.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,triglyceride.2019.m,40,Male,Mean triglyceride (mg/ul) extracted from 10 flies. Higher values indicate greater levels of triglyceride.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,mass.2019.f,40,Female,Mean mass (mg) of 10 flies. Higher values indicate heavier flies.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,mass.2019.m,40,Male,Mean mass (mg) of 10 flies. Higher values indicate heavier flies.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,thorax.length.f,39,Female,Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,thorax.length.m,39,Male,Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,thorax.width.f,39,Female,Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2019) Genome Research,thorax.width.m,39,Male,Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.,Zhou et al,Systems genetics of the Drosophila metabolome,2019,https://doi.org/10.1101/gr.243030.118,NA,NA,NA,NA,NA,They also provide metabolome abundance data which they summarise with a PCA. I haven’t included this yet.
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0_18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0_18:2).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0_18:2).m,40,Male,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zhou et al (2020) Genome Research,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0_18:1).f,40,Female,"Metabolites identified by mass spectrometry with scaled measurement for each sample (100 flies, replicated three times). Data were scaled to account for run-day blocks. Higher values indicate greater quantities.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
